2018-01-19 15:50:49,516 [Worker-88] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-01-19 15:59:32,755 [Worker-90] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-19 15:59:32,758 [Worker-90] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-01-19 15:59:32,760 [Worker-90] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-19 15:59:32,762 [Worker-90] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-01-19 15:59:52,054 [Worker-88] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-19 15:59:52,056 [Worker-88] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-01-19 15:59:52,058 [Worker-88] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-19 15:59:52,061 [Worker-88] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-01-19 16:00:06,049 [Worker-95] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-19 16:00:06,051 [Worker-95] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-01-19 16:00:06,053 [Worker-95] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-19 16:00:06,056 [Worker-95] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-01-19 16:00:24,278 [Worker-95] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-19 16:00:24,281 [Worker-95] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-01-19 16:00:24,282 [Worker-95] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-19 16:00:24,285 [Worker-95] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-01-19 16:24:08,017 [Worker-99] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-19 16:24:08,020 [Worker-99] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-01-19 16:24:08,022 [Worker-99] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-19 16:24:08,025 [Worker-99] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-01-19 16:24:40,475 [Worker-100] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-19 16:24:40,477 [Worker-100] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-01-19 16:24:40,478 [Worker-100] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-19 16:24:40,481 [Worker-100] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-01-19 16:29:19,249 [Worker-103] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-19 16:29:19,252 [Worker-103] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
